,PCF,VCF,PVCF,ACF,TRCF
2022-02-23,0.20422569027611043,0.2093157262905162,0.25983193277310923,0.4244417767106843,0.14228091236494594
2022-02-24,0.06967587034813925,0.24100840336134452,0.19030012004801922,0.3247539015606243,0.18607442977190874
2022-02-25,0.11663865546218487,0.17819927971188473,0.18002400960384152,0.3690276110444177,0.17570228091236492
2022-02-28,0.1524609843937575,0.19394957983193276,0.16821128451380551,0.4132052821128451,0.14391356542617048
2022-03-01,0.15217286914765904,0.21651860744297718,0.18069627851140455,0.4100360144057623,0.11923169267707083
2022-03-02,0.03817527010804322,0.2063385354141657,0.15130852340936377,0.3840096038415366,0.1330612244897959
2022-03-03,0.08657863145258103,0.2620408163265306,0.24763505402160862,0.41714285714285715,0.11644657863145258
2022-03-04,0.08619447779111644,0.2289075630252101,0.2016326530612245,0.37056422569027603,0.08321728691476589
2022-03-07,0.1300840336134454,0.23351740696278508,0.21690276110444176,0.39783913565426166,0.13690276110444177
2022-03-08,0.17944777911164464,0.20845138055222087,0.18588235294117647,0.3787274909963985,0.1700360144057623
2022-03-09,0.12941176470588234,0.2155582232893157,0.20364945978391355,0.36528211284513806,0.17013205282112842
2022-03-10,0.13776710684273707,0.230828331332533,0.21190876350540214,0.37123649459783914,0.2159423769507803
2022-03-11,0.13757503001200477,0.18828331332533013,0.2002881152460984,0.37392557022809125,0.15726290516206481
2022-03-14,0.09003601440576231,0.16926770708283315,0.14804321728691477,0.34213685474189676,0.20422569027611043
2022-03-15,0.06650660264105641,0.043073229291716676,0.04336134453781513,0.2523409363745498,0.13930372148859543
2022-03-16,0.04633853541416567,0.12902761104441776,0.06804321728691476,0.2543577430972389,0.2494597839135654
2022-03-17,0.05402160864345738,0.05421368547418968,0.0586314525810324,0.24494597839135654,0.19769507803121247
2022-03-18,0.10501800720288115,0.10818727490996398,0.10953181272509004,0.301704681872749,0.2905642256902761
2022-03-21,0.030300120048019206,0.054405762304921966,0.07111644657863145,0.23207683073229293,0.2868187274909964
2022-03-22,-0.014453781512605042,-0.07899159663865546,-0.037695078031212484,0.025978391356542615,0.16821128451380551
2022-03-23,-0.03442977190876351,-0.010516206482593037,-0.0251140456182473,0.14420168067226888,0.19394957983193276
2022-03-24,-0.03414165666266506,-0.07351740696278511,-0.0875390156062425,0.08206482593037215,0.25195678271308525
2022-03-25,-0.1599519807923169,-0.21719087635054019,-0.2051860744297719,-0.12124849939975989,0.13709483793517407
2022-03-28,-0.2003841536614646,-0.22986794717887157,-0.25599039615846336,-0.16849939975990394,0.1640816326530612
2022-03-29,-0.18799519807923168,-0.20941176470588235,-0.21776710684273706,-0.15899159663865545,0.14583433373349342
